name,lat,lng,type,address,postal_code
RUMBIA LRT STATION (SE2),1.391468,103.905974,LRT,70 RIVERVALE DRIVE RUMBIA LRT STATION (SE2) SINGAPORE 545054,545054
BAKAU LRT STATION (SE3),1.387994,103.905415,LRT,50 RIVERVALE DRIVE BAKAU LRT STATION (SE3) SINGAPORE 545053,545053
KANGKAR LRT STATION (SE4),1.383959,103.902225,LRT,20 RIVERVALE DRIVE KANGKAR LRT STATION (SE4) SINGAPORE 545052,545052
RANGGUNG LRT STATION (SE5),1.384234,103.897195,LRT,30 SENGKANG EAST AVENUE RANGGUNG LRT STATION (SE5) SINGAPORE 545046,545046
CHENG LIM LRT STATION (SW1),1.396278,103.893797,LRT,5 ANCHORVALE STREET CHENG LIM LRT STATION (SW1) SINGAPORE 545047,545047
FARMWAY LRT STATION (SW2),1.39717,103.889305,LRT,35 ANCHORVALE STREET FARMWAY LRT STATION (SW2) SINGAPORE 545048,545048
KUPANG LRT STATION (SW3),1.398213,103.881256,LRT,60 FERNVALE STREET KUPANG LRT STATION (SW3) SINGAPORE 797697,797697
THANGGAM LRT STATION (SW4),1.397318,103.875635,LRT,40 FERNVALE ROAD THANGGAM LRT STATION (SW4) SINGAPORE 797699,797699
FERNVALE LRT STATION (SW5),1.391886,103.876309,LRT,10 FERNVALE ROAD FERNVALE LRT STATION (SW5) SINGAPORE 797698,797698
LAYAR LRT STATION (SW6),1.39208,103.88003,LRT,11 SENGKANG WEST AVENUE LAYAR LRT STATION (SW6) SINGAPORE 797700,797700
TONGKANG LRT STATION (SW7),1.389348,103.885844,LRT,80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050,545050
RENJONG LRT STATION (SW8),1.386701,103.890621,LRT,60 SENGKANG EAST AVENUE RENJONG LRT STATION (SW8) SINGAPORE 545049,545049
PUNGGOL LRT STATION (PTC),1.405195,103.902412,LRT,70 PUNGGOL CENTRAL PUNGGOL LRT STATION (PTC) SINGAPORE 828868,828868
COVE LRT STATION (PE1),1.399282,103.905962,LRT,50 PUNGGOL FIELD COVE LRT STATION (PE1) SINGAPORE 828858,828858
MERIDIAN LRT STATION (PE2),1.396912,103.90895,LRT,60 PUNGGOL FIELD MERIDIAN LRT STATION (PE2) SINGAPORE 828857,828857
CORAL EDGE LRT STATION (PE3),1.393909,103.912581,LRT,70 PUNGGOL FIELD CORAL EDGE LRT STATION (PE3) SINGAPORE 828856,828856
RIVIERA LRT STATION (PE4),1.39452,103.916169,LRT,40 PUNGGOL EAST RIVIERA LRT STATION (PE4) SINGAPORE 828852,828852
KADALOOR LRT STATION (PE5),1.399509,103.916575,LRT,60 PUNGGOL DRIVE KADALOOR LRT STATION (PE5) SINGAPORE 828853,828853
OASIS LRT STATION (PE6),1.402287,103.912727,LRT,50 PUNGGOL DRIVE OASIS LRT STATION (PE6) SINGAPORE 828854,828854
DAMAI LRT STATION (PE7),1.405235,103.908604,LRT,40 PUNGGOL DRIVE DAMAI LRT STATION (PE7) SINGAPORE 828855,828855
SAM KEE LRT STATION (PW1),1.409613,103.904832,LRT,10 SENTUL CRESCENT SAM KEE LRT STATION (PW1) SINGAPORE 828851,828851
TECK LEE LRT STATION (PW2),1.412771,103.906578,LRT,101 PONGGOL SEVENTEENTH AVENUE TECK LEE LRT STATION (PW2) SINGAPORE 828861,828861
PUNGGOL POINT LRT STATION (PW3),1.416849,103.906651,LRT,81 PUNGGOL WAY PUNGGOL POINT LRT STATION (PW3) SINGAPORE 828644,828644
SAMUDERA LRT STATION (PW4),1.415902,103.902156,LRT,61 PUNGGOL WAY SAMUDERA LRT STATION (PW4) SINGAPORE 828645,828645
NIBONG LRT STATION (PW5),1.411854,103.900339,LRT,41 PUNGGOL WAY NIBONG LRT STATION (PW5) SINGAPORE 828862,828862
SUMANG LRT STATION (PW6),1.408452,103.898558,LRT,31 PUNGGOL WAY SUMANG LRT STATION (PW6) SINGAPORE 828863,828863
SOO TECK LRT STATION (PW7),1.405323,103.897291,LRT,21 PUNGGOL WAY SOO TECK LRT STATION (PW7) SINGAPORE 828864,828864
